domain,condition,model_seed,arm,evaluation_version,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound,family_size
toy,c31_moving_plane,,UNIFORM_4,v1-unchanged-finite-nonstochastic,1024,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_4,v1-unchanged-finite-nonstochastic,2048,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_5,v1-unchanged-finite-nonstochastic,32,165,0.322265625,0.677734375,0.4059225142335234,0.5940774857664766,875
toy,c31_moving_plane,,UNIFORM_5,v1-unchanged-finite-nonstochastic,64,340,0.6640625,0.3359375,0.7416556044069288,0.2583443955930712,875
toy,c31_moving_plane,,UNIFORM_5,v1-unchanged-finite-nonstochastic,128,455,0.888671875,0.111328125,0.9352490399244181,0.0647509600755819,875
toy,c31_moving_plane,,UNIFORM_5,v1-unchanged-finite-nonstochastic,256,509,0.994140625,0.005859375,0.999860585255993,0.00013941474400702702,875
toy,c31_moving_plane,,UNIFORM_5,v1-unchanged-finite-nonstochastic,512,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_5,v1-unchanged-finite-nonstochastic,1024,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_5,v1-unchanged-finite-nonstochastic,2048,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_6,v1-unchanged-finite-nonstochastic,32,9,0.017578125,0.982421875,0.05184784654134189,0.9481521534586581,875
toy,c31_moving_plane,,UNIFORM_6,v1-unchanged-finite-nonstochastic,64,71,0.138671875,0.861328125,0.2056644852919316,0.7943355147080684,875
toy,c31_moving_plane,,UNIFORM_6,v1-unchanged-finite-nonstochastic,128,188,0.3671875,0.6328125,0.45240335464082443,0.5475966453591756,875
toy,c31_moving_plane,,UNIFORM_6,v1-unchanged-finite-nonstochastic,256,370,0.72265625,0.27734375,0.7949297043883098,0.2050702956116902,875
toy,c31_moving_plane,,UNIFORM_6,v1-unchanged-finite-nonstochastic,512,483,0.943359375,0.056640625,0.9748948548714479,0.02510514512855211,875
toy,c31_moving_plane,,UNIFORM_6,v1-unchanged-finite-nonstochastic,1024,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_6,v1-unchanged-finite-nonstochastic,2048,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_7,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_7,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_7,v1-unchanged-finite-nonstochastic,128,7,0.013671875,0.986328125,0.0456223631277928,0.9543776368722072,875
toy,c31_moving_plane,,UNIFORM_7,v1-unchanged-finite-nonstochastic,256,69,0.134765625,0.865234375,0.20114812210623834,0.7988518778937617,875
toy,c31_moving_plane,,UNIFORM_7,v1-unchanged-finite-nonstochastic,512,202,0.39453125,0.60546875,0.4803219550863827,0.5196780449136174,875
toy,c31_moving_plane,,UNIFORM_7,v1-unchanged-finite-nonstochastic,1024,367,0.716796875,0.283203125,0.7896700939777315,0.21032990602226853,875
toy,c31_moving_plane,,UNIFORM_7,v1-unchanged-finite-nonstochastic,2048,489,0.955078125,0.044921875,0.9823823783437634,0.017617621656236593,875
toy,c31_moving_plane,,UNIFORM_8,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_8,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
